locus_ID,gene,category,Color
N900_RS08660,bioD,Biotin biosythesis,red
N900_RS08665,bioC,Biotin biosythesis,red
N900_RS08670,bioF,Biotin biosythesis,red
N900_RS08675,biob,Biotin biosythesis,red
N900_RS08680,bioA,Biotin biosythesis,red
N900_RS00970,bioH,Biotin biosythesis,red
