"Gene","degree","GeneName"
"N900_RS18125",71,"AraC family transcriptional regulator_4"
"N900_RS18410",71,"aer_2"
"N900_RS18430",71,"grxB"
"N900_RS18970",71,"thermostable hemolysin"
"N900_RS19940",71,"Pseudogene_N900_RS19940"
"N900_RS00110",70,"NADH dehydrogenase subunit II-related protein"
"N900_RS00330",70,"thiE"
"N900_RS00390",70,"N900_RS00390"
"N900_RS00820",70,"ntrC"
"N900_RS01025",70,"yhhQ"
"N900_RS01180",70,"hslU"
"N900_RS02405",70,"pilB"
"N900_RS02730",70,"N900_RS02730"
"N900_RS02895",70,"N900_RS02895"
"N900_RS03365",70,"N900_RS03365"
"N900_RS03515",70,"flaA"
"N900_RS03750",70,"fliS"
"N900_RS03790",70,"fliI"
"N900_RS03880",70,"NAD(P)H-dependent oxidoreductase"
"N900_RS03985",70,"sdhB"
"N900_RS04615",70,"minC"
"N900_RS05105",70,"VC_1853_BLAST"
"N900_RS05480",70,"nanM_2"
"N900_RS05925",70,"pspB"
"N900_RS05985",70,"ABC transporter permease subunit_1"
"N900_RS06005",70,"N900_RS06005"
"N900_RS06875",70,"rmf"
"N900_RS07140",70,"uspE"
"N900_RS07320",70,"N900_RS07320"
"N900_RS07370",70,"membrane protein_5"
"N900_RS08535",70,"rluE"
"N900_RS08760",70,"oppD_1"
"N900_RS10000",70,"toxT"
"N900_RS11035",70,"istB"
"N900_RS11240",70,"sul2"
"N900_RS11375",70,"MarR family transcriptional regulator"
"N900_RS11635",70,"hrpB"
"N900_RS11780",70,"yhcB"
"N900_RS11845",70,"yqaA"
"N900_RS11915",70,"csrA"
"N900_RS12465",70,"uspF"
"N900_RS13330",70,"fructokinase"
"N900_RS13465",70,"wavL"
"N900_RS13475",70,"waaL"
"N900_RS13480",70,"waaF"
"N900_RS13780",70,"tadA_2"
"N900_RS13810",70,"N900_RS13810"
"N900_RS14110",70,"vasW"
"N900_RS15180",70,"yceJ_1"
"N900_RS15820",70,"Pseudogene_N900_RS15820"
"N900_RS15855",70,"GNAT family N-acetyltransferase_9"
"N900_RS16445",70,"VC0395_0503_BLAST"
"N900_RS16675",70,"sseA"
"N900_RS16680",70,"lsrR"
"N900_RS16805",70,"N900_RS16805"
"N900_RS17480",70,"dnaj"
"N900_RS17680",70,"methyltransferase, putative"
"N900_RS17975",70,"ycdX"
"N900_RS18555",70,"N900_RS18555"
