"Gene","Time","Space","logFC","timeNumber","Time_idx","Space_idx"
"N900_RS08265","1h","SI6",0.19429,1,1,7
"N900_RS08270","1h","SI6",-0.83057,1,1,7
"N900_RS08275","1h","SI6",-0.12427,1,1,7
"N900_RS08280","1h","SI6",-0.31658,1,1,7
"N900_RS08285","1h","SI6",0.20005,1,1,7
"N900_RS08290","1h","SI6",-0.2525,1,1,7
"N900_RS08295","1h","SI6",-1.3395,1,1,7
"N900_RS08300","1h","SI6",0.27587,1,1,7
"N900_RS08305","1h","SI6",-0.51859,1,1,7
"N900_RS08310","1h","SI6",-0.070374,1,1,7
"N900_RS08315","1h","SI6",-0.040401,1,1,7
"N900_RS08320","1h","SI6",-0.31564,1,1,7
"N900_RS08325","1h","SI6",-0.082795,1,1,7
"N900_RS08330","1h","SI6",-0.11006,1,1,7
"N900_RS08335","1h","SI6",-0.45827,1,1,7
"N900_RS08350","1h","SI6",-0.88016,1,1,7
"N900_RS08355","1h","SI6",-0.042281,1,1,7
"N900_RS08360","1h","SI6",-0.12482,1,1,7
"N900_RS08365","1h","SI6",0.096757,1,1,7
"N900_RS08370","1h","SI6",0.11229,1,1,7
"N900_RS08375","1h","SI6",-0.1518,1,1,7
"N900_RS08380","1h","SI6",-0.40279,1,1,7
"N900_RS08385","1h","SI6",0.34352,1,1,7
"N900_RS08390","1h","SI6",0.35762,1,1,7
"N900_RS08395","1h","SI6",0.11287,1,1,7
"N900_RS08400","1h","SI6",-0.049404,1,1,7
"N900_RS08405","1h","SI6",-0.221,1,1,7
"N900_RS08415","1h","SI6",-0.052582,1,1,7
"N900_RS08420","1h","SI6",-0.18277,1,1,7
"N900_RS08425","1h","SI6",-0.039108,1,1,7
"N900_RS08430","1h","SI6",-0.20551,1,1,7
"N900_RS08435","1h","SI6",-0.12899,1,1,7
"N900_RS08440","1h","SI6",-0.22929,1,1,7
"N900_RS08450","1h","SI6",0.028262,1,1,7
"N900_RS08455","1h","SI6",-0.034504,1,1,7
"N900_RS08460","1h","SI6",0.14447,1,1,7
"N900_RS08465","1h","SI6",-0.02805,1,1,7
"N900_RS08470","1h","SI6",-1.0108,1,1,7
"N900_RS08475","1h","SI6",0.15917,1,1,7
"N900_RS08480","1h","SI6",0.36586,1,1,7
"N900_RS08485","1h","SI6",-0.11008,1,1,7
"N900_RS08495","1h","SI6",0.36553,1,1,7
"N900_RS08500","1h","SI6",-0.13402,1,1,7
"N900_RS08505","1h","SI6",0.15344,1,1,7
"N900_RS08510","1h","SI6",0.14565,1,1,7
"N900_RS08515","1h","SI6",0.57925,1,1,7
"N900_RS08520","1h","SI6",-0.068963,1,1,7
"N900_RS08525","1h","SI6",-0.31771,1,1,7
"N900_RS08535","1h","SI6",-0.47162,1,1,7
"N900_RS08540","1h","SI6",-0.00096351,1,1,7
"N900_RS08545","1h","SI6",0.037104,1,1,7
"N900_RS08550","1h","SI6",0.13312,1,1,7
"N900_RS08555","1h","SI6",-0.33905,1,1,7
"N900_RS08560","1h","SI6",-0.13582,1,1,7
"N900_RS08565","1h","SI6",0.14622,1,1,7
"N900_RS08570","1h","SI6",0.15328,1,1,7
"N900_RS08575","1h","SI6",-0.0096538,1,1,7
"N900_RS08580","1h","SI6",-0.44468,1,1,7
"N900_RS08590","1h","SI6",0.17857,1,1,7
"N900_RS08610","1h","SI6",-0.00091871,1,1,7
"N900_RS08615","1h","SI6",-0.28808,1,1,7
"N900_RS08620","1h","SI6",0.0093107,1,1,7
"N900_RS08625","1h","SI6",-0.1045,1,1,7
"N900_RS08630","1h","SI6",-0.77963,1,1,7
"N900_RS08635","1h","SI6",-0.11065,1,1,7
"N900_RS08640","1h","SI6",-0.11086,1,1,7
"N900_RS08645","1h","SI6",0.3751,1,1,7
"N900_RS08650","1h","SI6",-0.39057,1,1,7
"N900_RS08655","1h","SI6",-0.21428,1,1,7
"N900_RS08660","1h","SI6",0.12089,1,1,7
"N900_RS08665","1h","SI6",0.039714,1,1,7
"N900_RS08670","1h","SI6",-0.15174,1,1,7
"N900_RS08675","1h","SI6",-0.056397,1,1,7
"N900_RS08680","1h","SI6",0.24345,1,1,7
"N900_RS08690","1h","SI6",0.28557,1,1,7
"N900_RS08700","1h","SI6",0.060903,1,1,7
"N900_RS08705","1h","SI6",-0.0042733,1,1,7
"N900_RS08710","1h","SI6",-0.12974,1,1,7
"N900_RS08715","1h","SI6",0.23485,1,1,7
"N900_RS08720","1h","SI6",-0.035407,1,1,7
"N900_RS08725","1h","SI6",-0.16035,1,1,7
"N900_RS08730","1h","SI6",0.21101,1,1,7
"N900_RS08735","1h","SI6",0.35208,1,1,7
"N900_RS08740","1h","SI6",-0.54509,1,1,7
"N900_RS08745","1h","SI6",-1.5439,1,1,7
"N900_RS08750","1h","SI6",-0.19159,1,1,7
"N900_RS08755","1h","SI6",0.21932,1,1,7
"N900_RS08760","1h","SI6",0.51031,1,1,7
"N900_RS08765","1h","SI6",0.32783,1,1,7
"N900_RS08770","1h","SI6",0.33508,1,1,7
"N900_RS08775","1h","SI6",-0.10759,1,1,7
"N900_RS08780","1h","SI6",-0.11386,1,1,7
"N900_RS08785","1h","SI6",-0.22701,1,1,7
"N900_RS08790","1h","SI6",0.47323,1,1,7
"N900_RS08795","1h","SI6",-0.067187,1,1,7
"N900_RS08800","1h","SI6",-0.01121,1,1,7
"N900_RS08805","1h","SI6",0.30422,1,1,7
"N900_RS08810","1h","SI6",-0.20935,1,1,7
"N900_RS08815","1h","SI6",0.12962,1,1,7
"N900_RS08820","1h","SI6",-0.13847,1,1,7
"N900_RS08825","1h","SI6",0.52896,1,1,7
"N900_RS08830","1h","SI6",-0.44663,1,1,7
"N900_RS08840","1h","SI6",-0.45718,1,1,7
"N900_RS08845","1h","SI6",0.019029,1,1,7
"N900_RS08850","1h","SI6",0.049163,1,1,7
"N900_RS08855","1h","SI6",-0.27161,1,1,7
"N900_RS08860","1h","SI6",-0.044354,1,1,7
"N900_RS08865","1h","SI6",-0.11022,1,1,7
"N900_RS08870","1h","SI6",-0.037122,1,1,7
"N900_RS08875","1h","SI6",0.11794,1,1,7
"N900_RS08880","1h","SI6",-0.16495,1,1,7
"N900_RS08885","1h","SI6",0.32175,1,1,7
"N900_RS08890","1h","SI6",-0.93736,1,1,7
"N900_RS08895","1h","SI6",0.10611,1,1,7
"N900_RS08900","1h","SI6",-0.24785,1,1,7
"N900_RS08905","1h","SI6",0.053827,1,1,7
"N900_RS08910","1h","SI6",0.082945,1,1,7
"N900_RS08915","1h","SI6",0.042494,1,1,7
"N900_RS08920","1h","SI6",0.015516,1,1,7
"N900_RS08925","1h","SI6",0.051643,1,1,7
"N900_RS08935","1h","SI6",-0.09347,1,1,7
"N900_RS08940","1h","SI6",0.022265,1,1,7
"N900_RS08945","1h","SI6",0.388,1,1,7
"N900_RS08955","1h","SI6",-0.21456,1,1,7
"N900_RS08960","1h","SI6",0.7578,1,1,7
"N900_RS08970","1h","SI6",0.36982,1,1,7
"N900_RS08975","1h","SI6",-0.53489,1,1,7
"N900_RS08980","1h","SI6",0.015412,1,1,7
"N900_RS08985","1h","SI6",-0.23221,1,1,7
"N900_RS08990","1h","SI6",-0.042535,1,1,7
"N900_RS08995","1h","SI6",-1.4955,1,1,7
"N900_RS09000","1h","SI6",-0.37196,1,1,7
"N900_RS09005","1h","SI6",0.41284,1,1,7
"N900_RS09010","1h","SI6",0.024631,1,1,7
"N900_RS09015","1h","SI6",0.12126,1,1,7
"N900_RS09020","1h","SI6",0.17327,1,1,7
"N900_RS09025","1h","SI6",0.02499,1,1,7
"N900_RS09030","1h","SI6",-0.45599,1,1,7
"N900_RS09035","1h","SI6",-1.9188,1,1,7
"N900_RS09040","1h","SI6",-0.29087,1,1,7
"N900_RS09045","1h","SI6",0.13289,1,1,7
"N900_RS09055","1h","SI6",-0.020356,1,1,7
"N900_RS09060","1h","SI6",0.1035,1,1,7
"N900_RS09065","1h","SI6",4.0662,1,1,7
"N900_RS09070","1h","SI6",-0.22248,1,1,7
"N900_RS09075","1h","SI6",0.40856,1,1,7
"N900_RS09080","1h","SI6",-0.13221,1,1,7
"N900_RS09085","1h","SI6",-0.13703,1,1,7
"N900_RS09090","1h","SI6",-0.49921,1,1,7
"N900_RS09095","1h","SI6",-0.13692,1,1,7
"N900_RS09100","1h","SI6",0.081835,1,1,7
"N900_RS09105","1h","SI6",0.18239,1,1,7
"N900_RS09110","1h","SI6",0.069316,1,1,7
"N900_RS09115","1h","SI6",0.11351,1,1,7
"N900_RS09120","1h","SI6",-0.40234,1,1,7
"N900_RS09125","1h","SI6",-0.11951,1,1,7
"N900_RS09130","1h","SI6",-0.24469,1,1,7
"N900_RS09170","1h","SI6",-0.21483,1,1,7
"N900_RS09175","1h","SI6",-0.062673,1,1,7
"N900_RS09180","1h","SI6",-0.2192,1,1,7
"N900_RS09185","1h","SI6",-0.01343,1,1,7
"N900_RS09195","1h","SI6",-0.18087,1,1,7
"N900_RS09200","1h","SI6",0.65592,1,1,7
"N900_RS09205","1h","SI6",-0.18414,1,1,7
"N900_RS09210","1h","SI6",-0.32347,1,1,7
"N900_RS09215","1h","SI6",-0.7057,1,1,7
"N900_RS09230","1h","SI6",-0.44477,1,1,7
"N900_RS09235","1h","SI6",0.50562,1,1,7
"N900_RS09245","1h","SI6",-0.23017,1,1,7
"N900_RS09250","1h","SI6",0.41476,1,1,7
"N900_RS09255","1h","SI6",-0.086259,1,1,7
"N900_RS09260","1h","SI6",0.072214,1,1,7
"N900_RS09265","1h","SI6",0.01472,1,1,7
"N900_RS09270","1h","SI6",0.15287,1,1,7
"N900_RS09275","1h","SI6",0.066975,1,1,7
"N900_RS09290","1h","SI6",0.076903,1,1,7
"N900_RS09295","1h","SI6",-0.84889,1,1,7
"N900_RS09300","1h","SI6",-0.41453,1,1,7
"N900_RS09305","1h","SI6",0.03905,1,1,7
"N900_RS09310","1h","SI6",0.16689,1,1,7
"N900_RS09315","1h","SI6",0.16234,1,1,7
"N900_RS09320","1h","SI6",-0.040912,1,1,7
"N900_RS09325","1h","SI6",0.42482,1,1,7
"N900_RS09330","1h","SI6",-0.026915,1,1,7
"N900_RS09335","1h","SI6",0.14472,1,1,7
"N900_RS09340","1h","SI6",0.19843,1,1,7
"N900_RS09345","1h","SI6",-0.34385,1,1,7
"N900_RS09350","1h","SI6",0.17836,1,1,7
"N900_RS09365","1h","SI6",-0.18113,1,1,7
"N900_RS09370","1h","SI6",-0.26076,1,1,7
"N900_RS09375","1h","SI6",-0.33573,1,1,7
"N900_RS09380","1h","SI6",-0.4072,1,1,7
"N900_RS09385","1h","SI6",-0.94761,1,1,7
"N900_RS09390","1h","SI6",-2.5399,1,1,7
"N900_RS09400","1h","SI6",0.069234,1,1,7
"N900_RS09405","1h","SI6",-2.5113,1,1,7
"N900_RS09410","1h","SI6",0.2422,1,1,7
"N900_RS09415","1h","SI6",0.69078,1,1,7
"N900_RS09420","1h","SI6",-0.92714,1,1,7
"N900_RS09425","1h","SI6",-0.089277,1,1,7
"N900_RS09445","1h","SI6",0.027417,1,1,7
"N900_RS09450","1h","SI6",0.42324,1,1,7
"N900_RS09465","1h","SI6",-0.94085,1,1,7
"N900_RS09470","1h","SI6",-2.31,1,1,7
"N900_RS09500","1h","SI6",-2.773,1,1,7
"N900_RS09505","1h","SI6",-0.22372,1,1,7
"N900_RS09510","1h","SI6",0.31569,1,1,7
"N900_RS09515","1h","SI6",0.074508,1,1,7
"N900_RS09520","1h","SI6",0.029205,1,1,7
"N900_RS09525","1h","SI6",-0.099544,1,1,7
"N900_RS09530","1h","SI6",-0.11254,1,1,7
"N900_RS09535","1h","SI6",0.15014,1,1,7
"N900_RS09540","1h","SI6",0.14273,1,1,7
"N900_RS09545","1h","SI6",-0.42403,1,1,7
"N900_RS09550","1h","SI6",-0.0085068,1,1,7
"N900_RS09555","1h","SI6",0.094011,1,1,7
"N900_RS09560","1h","SI6",-0.21548,1,1,7
"N900_RS09565","1h","SI6",0.20631,1,1,7
"N900_RS09570","1h","SI6",-0.43621,1,1,7
"N900_RS09575","1h","SI6",-0.040591,1,1,7
"N900_RS09580","1h","SI6",0.015979,1,1,7
"N900_RS09585","1h","SI6",0.0088668,1,1,7
"N900_RS09590","1h","SI6",0.16115,1,1,7
"N900_RS09595","1h","SI6",-0.014657,1,1,7
"N900_RS09600","1h","SI6",-0.15427,1,1,7
"N900_RS09605","1h","SI6",0.11137,1,1,7
"N900_RS09610","1h","SI6",0.10053,1,1,7
"N900_RS09615","1h","SI6",-0.024586,1,1,7
"N900_RS09620","1h","SI6",0.20319,1,1,7
"N900_RS09625","1h","SI6",0.041549,1,1,7
"N900_RS09630","1h","SI6",-0.09968,1,1,7
"N900_RS09650","1h","SI6",-0.31517,1,1,7
"N900_RS09655","1h","SI6",0.079559,1,1,7
"N900_RS09660","1h","SI6",-0.31787,1,1,7
"N900_RS09665","1h","SI6",-1.246,1,1,7
"N900_RS09670","1h","SI6",0.32995,1,1,7
"N900_RS09675","1h","SI6",0.055444,1,1,7
"N900_RS09680","1h","SI6",0.24562,1,1,7
"N900_RS09685","1h","SI6",0.087942,1,1,7
"N900_RS09690","1h","SI6",-0.005979,1,1,7
"N900_RS09695","1h","SI6",0.083227,1,1,7
"N900_RS09700","1h","SI6",0.049276,1,1,7
"N900_RS09705","1h","SI6",-0.31395,1,1,7
"N900_RS09710","1h","SI6",-0.57823,1,1,7
"N900_RS09715","1h","SI6",0.069358,1,1,7
"N900_RS09720","1h","SI6",-0.12501,1,1,7
"N900_RS09725","1h","SI6",-0.3955,1,1,7
"N900_RS09735","1h","SI6",-0.66714,1,1,7
"N900_RS09740","1h","SI6",0.045754,1,1,7
"N900_RS09745","1h","SI6",0.041707,1,1,7
"N900_RS09750","1h","SI6",0.17418,1,1,7
"N900_RS09765","1h","SI6",0.2322,1,1,7
"N900_RS09770","1h","SI6",0.079313,1,1,7
"N900_RS09775","1h","SI6",0.17572,1,1,7
"N900_RS09780","1h","SI6",0.074152,1,1,7
"N900_RS09785","1h","SI6",0.097119,1,1,7
"N900_RS09790","1h","SI6",0.27876,1,1,7
"N900_RS09795","1h","SI6",-0.2177,1,1,7
"N900_RS09800","1h","SI6",-0.0069774,1,1,7
"N900_RS09810","1h","SI6",0.077902,1,1,7
"N900_RS09815","1h","SI6",0.023193,1,1,7
"N900_RS09830","1h","SI6",0.02694,1,1,7
"N900_RS09835","1h","SI6",0.14532,1,1,7
"N900_RS09840","1h","SI6",0.21028,1,1,7
"N900_RS09850","1h","SI6",-0.59085,1,1,7
"N900_RS09860","1h","SI6",-0.065887,1,1,7
"N900_RS09870","1h","SI6",0.22998,1,1,7
"N900_RS09875","1h","SI6",0.03383,1,1,7
"N900_RS09880","1h","SI6",0.084522,1,1,7
"N900_RS09885","1h","SI6",-0.25656,1,1,7
"N900_RS09890","1h","SI6",-0.36407,1,1,7
"N900_RS09895","1h","SI6",0.21429,1,1,7
"N900_RS09900","1h","SI6",0.072797,1,1,7
"N900_RS09905","1h","SI6",0.22047,1,1,7
"N900_RS09930","1h","SI6",-0.09063,1,1,7
"N900_RS09935","1h","SI6",-0.64659,1,1,7
"N900_RS09950","1h","SI6",-0.51923,1,1,7
"N900_RS09955","1h","SI6",0.08921,1,1,7
"N900_RS09965","1h","SI6",-0.28403,1,1,7
"N900_RS09970","1h","SI6",-0.020034,1,1,7
"N900_RS09975","1h","SI6",0.10527,1,1,7
"N900_RS09980","1h","SI6",0.39614,1,1,7
"N900_RS09985","1h","SI6",0.0036457,1,1,7
"N900_RS09990","1h","SI6",0.58213,1,1,7
"N900_RS09995","1h","SI6",-0.18435,1,1,7
"N900_RS10000","1h","SI6",0.15037,1,1,7
"N900_RS10005","1h","SI6",-0.049051,1,1,7
"N900_RS10010","1h","SI6",0.12488,1,1,7
"N900_RS10015","1h","SI6",-0.28679,1,1,7
"N900_RS10020","1h","SI6",-0.24349,1,1,7
"N900_RS10025","1h","SI6",-1.0609,1,1,7
"N900_RS10035","1h","SI6",0.021283,1,1,7
"N900_RS10040","1h","SI6",-0.12302,1,1,7
"N900_RS10045","1h","SI6",-0.13594,1,1,7
"N900_RS10050","1h","SI6",0.19057,1,1,7
"N900_RS10055","1h","SI6",0.21481,1,1,7
"N900_RS10060","1h","SI6",0.058291,1,1,7
"N900_RS10065","1h","SI6",0.04438,1,1,7
"N900_RS10075","1h","SI6",0.14838,1,1,7
"N900_RS10080","1h","SI6",-0.27647,1,1,7
"N900_RS10085","1h","SI6",-0.043032,1,1,7
"N900_RS10090","1h","SI6",0.22191,1,1,7
"N900_RS10105","1h","SI6",0.27155,1,1,7
"N900_RS10110","1h","SI6",0.34083,1,1,7
"N900_RS10115","1h","SI6",0.48869,1,1,7
"N900_RS10125","1h","SI6",-0.036316,1,1,7
"N900_RS10130","1h","SI6",0.18652,1,1,7
"N900_RS10135","1h","SI6",0.15203,1,1,7
"N900_RS10140","1h","SI6",0.1423,1,1,7
"N900_RS10145","1h","SI6",-0.15251,1,1,7
"N900_RS10150","1h","SI6",-0.0029436,1,1,7
"N900_RS10155","1h","SI6",0.054054,1,1,7
"N900_RS10160","1h","SI6",0.1705,1,1,7
"N900_RS10165","1h","SI6",-0.046388,1,1,7
"N900_RS10170","1h","SI6",0.37019,1,1,7
"N900_RS10175","1h","SI6",0.042782,1,1,7
"N900_RS10180","1h","SI6",0.17245,1,1,7
"N900_RS10185","1h","SI6",0.067906,1,1,7
"N900_RS10190","1h","SI6",-0.17479,1,1,7
"N900_RS10195","1h","SI6",-5.8637e-06,1,1,7
"N900_RS10200","1h","SI6",-0.0072309,1,1,7
"N900_RS10205","1h","SI6",0.11137,1,1,7
"N900_RS10210","1h","SI6",-0.055867,1,1,7
"N900_RS10215","1h","SI6",0.074382,1,1,7
"N900_RS10220","1h","SI6",0.22957,1,1,7
"N900_RS10225","1h","SI6",0.27462,1,1,7
"N900_RS10230","1h","SI6",0.27778,1,1,7
"N900_RS10235","1h","SI6",-0.38095,1,1,7
"N900_RS10245","1h","SI6",0.059016,1,1,7
"N900_RS10250","1h","SI6",-0.01351,1,1,7
"N900_RS10255","1h","SI6",0.27918,1,1,7
"N900_RS10260","1h","SI6",-0.007872,1,1,7
"N900_RS10265","1h","SI6",0.087932,1,1,7
"N900_RS10270","1h","SI6",-0.14931,1,1,7
"N900_RS10275","1h","SI6",-0.014923,1,1,7
"N900_RS10280","1h","SI6",-0.7468,1,1,7
"N900_RS10285","1h","SI6",-0.14738,1,1,7
"N900_RS10290","1h","SI6",0.089511,1,1,7
"N900_RS10295","1h","SI6",-0.01339,1,1,7
"N900_RS10300","1h","SI6",0.051757,1,1,7
"N900_RS10305","1h","SI6",0.14514,1,1,7
"N900_RS10315","1h","SI6",-0.30847,1,1,7
"N900_RS10320","1h","SI6",-0.24239,1,1,7
"N900_RS10325","1h","SI6",0.026159,1,1,7
"N900_RS10330","1h","SI6",0.13359,1,1,7
"N900_RS10335","1h","SI6",-0.77848,1,1,7
"N900_RS10340","1h","SI6",-1.1427,1,1,7
"N900_RS10345","1h","SI6",0.28719,1,1,7
"N900_RS10350","1h","SI6",-0.050655,1,1,7
"N900_RS10355","1h","SI6",0.2681,1,1,7
"N900_RS10370","1h","SI6",-0.69512,1,1,7
"N900_RS10385","1h","SI6",0.23925,1,1,7
"N900_RS10390","1h","SI6",-0.22884,1,1,7
"N900_RS10395","1h","SI6",-0.068324,1,1,7
"N900_RS10400","1h","SI6",-0.57363,1,1,7
"N900_RS10405","1h","SI6",-0.39291,1,1,7
"N900_RS10440","1h","SI6",0.060711,1,1,7
"N900_RS10445","1h","SI6",-0.090542,1,1,7
"N900_RS10455","1h","SI6",-0.0665,1,1,7
"N900_RS10460","1h","SI6",-0.15003,1,1,7
"N900_RS10465","1h","SI6",0.13018,1,1,7
"N900_RS10470","1h","SI6",0.27895,1,1,7
"N900_RS10475","1h","SI6",0.21668,1,1,7
"N900_RS10480","1h","SI6",0.10334,1,1,7
"N900_RS10485","1h","SI6",-0.28505,1,1,7
"N900_RS10490","1h","SI6",0.21028,1,1,7
"N900_RS10495","1h","SI6",-0.082145,1,1,7
"N900_RS10500","1h","SI6",-0.08424,1,1,7
"N900_RS10505","1h","SI6",-0.078029,1,1,7
"N900_RS10510","1h","SI6",0.11823,1,1,7
"N900_RS10515","1h","SI6",0.26116,1,1,7
"N900_RS10520","1h","SI6",-0.31336,1,1,7
"N900_RS10525","1h","SI6",-0.92148,1,1,7
"N900_RS10530","1h","SI6",-0.93841,1,1,7
"N900_RS10535","1h","SI6",-0.2159,1,1,7
"N900_RS10540","1h","SI6",0.29757,1,1,7
"N900_RS10545","1h","SI6",-0.023341,1,1,7
"N900_RS10550","1h","SI6",-0.44284,1,1,7
"N900_RS10555","1h","SI6",-0.08351,1,1,7
"N900_RS10560","1h","SI6",0.094607,1,1,7
"N900_RS10565","1h","SI6",0.11137,1,1,7
"N900_RS10570","1h","SI6",0.063799,1,1,7
"N900_RS10575","1h","SI6",0.45057,1,1,7
"N900_RS10580","1h","SI6",0.13171,1,1,7
"N900_RS10585","1h","SI6",0.045069,1,1,7
"N900_RS10615","1h","SI6",0.054471,1,1,7
"N900_RS10620","1h","SI6",0.0038944,1,1,7
"N900_RS10625","1h","SI6",-0.54597,1,1,7
"N900_RS10635","1h","SI6",0.06857,1,1,7
"N900_RS10640","1h","SI6",0.18192,1,1,7
"N900_RS10645","1h","SI6",0.21245,1,1,7
"N900_RS10650","1h","SI6",0.010251,1,1,7
"N900_RS10655","1h","SI6",0.32802,1,1,7
"N900_RS10660","1h","SI6",-0.27191,1,1,7
"N900_RS10665","1h","SI6",-0.064237,1,1,7
"N900_RS10670","1h","SI6",-0.12063,1,1,7
"N900_RS10675","1h","SI6",-0.0076072,1,1,7
"N900_RS10680","1h","SI6",-0.069683,1,1,7
"N900_RS10685","1h","SI6",0.1028,1,1,7
"N900_RS10690","1h","SI6",0.097908,1,1,7
"N900_RS10695","1h","SI6",0.27652,1,1,7
"N900_RS10700","1h","SI6",-0.2181,1,1,7
"N900_RS10705","1h","SI6",-0.019373,1,1,7
"N900_RS10710","1h","SI6",0.61997,1,1,7
"N900_RS10715","1h","SI6",0.14361,1,1,7
"N900_RS10720","1h","SI6",-0.24822,1,1,7
"N900_RS10725","1h","SI6",0.092325,1,1,7
"N900_RS10735","1h","SI6",0.1604,1,1,7
"N900_RS10765","1h","SI6",0.084286,1,1,7
"N900_RS10770","1h","SI6",-0.029539,1,1,7
"N900_RS10775","1h","SI6",-0.031062,1,1,7
"N900_RS10790","1h","SI6",0.58868,1,1,7
"N900_RS10795","1h","SI6",-0.25932,1,1,7
"N900_RS10800","1h","SI6",-0.43366,1,1,7
"N900_RS10810","1h","SI6",-0.043917,1,1,7
"N900_RS10815","1h","SI6",-0.072609,1,1,7
"N900_RS10820","1h","SI6",0.20899,1,1,7
"N900_RS10825","1h","SI6",0.15217,1,1,7
"N900_RS10840","1h","SI6",0.10705,1,1,7
"N900_RS10845","1h","SI6",0.077728,1,1,7
"N900_RS10850","1h","SI6",-1.3617,1,1,7
"N900_RS10855","1h","SI6",-0.57672,1,1,7
"N900_RS10880","1h","SI6",-2.3614,1,1,7
"N900_RS10885","1h","SI6",0.092695,1,1,7
"N900_RS10890","1h","SI6",0.55083,1,1,7
"N900_RS10895","1h","SI6",0.11261,1,1,7
"N900_RS10900","1h","SI6",0.074659,1,1,7
"N900_RS10905","1h","SI6",-0.14694,1,1,7
"N900_RS10910","1h","SI6",-0.49687,1,1,7
"N900_RS10915","1h","SI6",-0.25307,1,1,7
"N900_RS10920","1h","SI6",-0.18769,1,1,7
"N900_RS10925","1h","SI6",0.45957,1,1,7
"N900_RS10930","1h","SI6",0.040526,1,1,7
"N900_RS10935","1h","SI6",-0.021496,1,1,7
"N900_RS10940","1h","SI6",0.50633,1,1,7
"N900_RS10950","1h","SI6",0.44722,1,1,7
"N900_RS10955","1h","SI6",0.051745,1,1,7
"N900_RS10960","1h","SI6",0.075477,1,1,7
"N900_RS10965","1h","SI6",-0.068367,1,1,7
"N900_RS10970","1h","SI6",0.13466,1,1,7
"N900_RS10975","1h","SI6",0.31371,1,1,7
"N900_RS10980","1h","SI6",0.20035,1,1,7
"N900_RS10985","1h","SI6",0.13842,1,1,7
"N900_RS10990","1h","SI6",0.075128,1,1,7
"N900_RS10995","1h","SI6",0.12134,1,1,7
"N900_RS11000","1h","SI6",0.054371,1,1,7
"N900_RS11005","1h","SI6",0.29448,1,1,7
"N900_RS11010","1h","SI6",0.64872,1,1,7
"N900_RS11015","1h","SI6",-0.50174,1,1,7
"N900_RS11020","1h","SI6",0.015973,1,1,7
"N900_RS11025","1h","SI6",-0.010153,1,1,7
"N900_RS11030","1h","SI6",-0.0036056,1,1,7
"N900_RS11035","1h","SI6",0.19548,1,1,7
"N900_RS11040","1h","SI6",0.25398,1,1,7
"N900_RS11045","1h","SI6",-0.10735,1,1,7
"N900_RS11050","1h","SI6",-0.058873,1,1,7
"N900_RS11055","1h","SI6",0.18888,1,1,7
"N900_RS11060","1h","SI6",0.12289,1,1,7
"N900_RS11065","1h","SI6",-0.13425,1,1,7
"N900_RS11070","1h","SI6",0.040941,1,1,7
"N900_RS11075","1h","SI6",0.1494,1,1,7
"N900_RS11080","1h","SI6",-0.049448,1,1,7
"N900_RS11090","1h","SI6",0.022713,1,1,7
"N900_RS11095","1h","SI6",0.0051937,1,1,7
"N900_RS11100","1h","SI6",-0.14462,1,1,7
"N900_RS11105","1h","SI6",0.036057,1,1,7
"N900_RS11110","1h","SI6",0.052319,1,1,7
"N900_RS11115","1h","SI6",-0.020939,1,1,7
"N900_RS11120","1h","SI6",0.16736,1,1,7
"N900_RS11125","1h","SI6",-0.037412,1,1,7
"N900_RS11130","1h","SI6",-0.18004,1,1,7
"N900_RS11135","1h","SI6",0.22816,1,1,7
"N900_RS11140","1h","SI6",0.18253,1,1,7
"N900_RS11145","1h","SI6",-0.18623,1,1,7
"N900_RS11150","1h","SI6",0.047939,1,1,7
"N900_RS11155","1h","SI6",-0.054425,1,1,7
"N900_RS11160","1h","SI6",0.0036624,1,1,7
"N900_RS11165","1h","SI6",0.031172,1,1,7
"N900_RS11170","1h","SI6",0.13165,1,1,7
"N900_RS11175","1h","SI6",0.053001,1,1,7
"N900_RS11180","1h","SI6",0.12719,1,1,7
"N900_RS11185","1h","SI6",0.43269,1,1,7
"N900_RS11190","1h","SI6",0.061543,1,1,7
"N900_RS11195","1h","SI6",-0.96267,1,1,7
"N900_RS11200","1h","SI6",0.049441,1,1,7
"N900_RS11205","1h","SI6",-0.076495,1,1,7
"N900_RS11210","1h","SI6",0.30712,1,1,7
"N900_RS11215","1h","SI6",-0.31997,1,1,7
"N900_RS11220","1h","SI6",0.18557,1,1,7
"N900_RS11240","1h","SI6",-0.233,1,1,7
"N900_RS11245","1h","SI6",-0.023121,1,1,7
"N900_RS11250","1h","SI6",0.35302,1,1,7
"N900_RS11255","1h","SI6",-0.29443,1,1,7
"N900_RS11260","1h","SI6",0.010545,1,1,7
"N900_RS11265","1h","SI6",0.18379,1,1,7
"N900_RS11270","1h","SI6",0.099343,1,1,7
"N900_RS11275","1h","SI6",0.12216,1,1,7
"N900_RS11280","1h","SI6",-0.68329,1,1,7
"N900_RS11290","1h","SI6",0.15115,1,1,7
"N900_RS11295","1h","SI6",0.11495,1,1,7
"N900_RS11300","1h","SI6",0.28383,1,1,7
"N900_RS11305","1h","SI6",-0.23582,1,1,7
"N900_RS11310","1h","SI6",0.11394,1,1,7
"N900_RS11315","1h","SI6",0.54185,1,1,7
"N900_RS11320","1h","SI6",0.24894,1,1,7
"N900_RS11325","1h","SI6",0.25759,1,1,7
"N900_RS11335","1h","SI6",-0.089508,1,1,7
