"Gene","Time","Space","logFC","timeNumber","Time_idx","Space_idx"
"N900_RS00830","1h","st",1.0141,1,1,1
"N900_RS00835","1h","st",1.4826,1,1,1
"N900_RS00840","1h","st",0.10871,1,1,1
"N900_RS00845","1h","st",-0.89425,1,1,1
"N900_RS00850","1h","st",-0.23073,1,1,1
"N900_RS00855","1h","st",0.85694,1,1,1
"N900_RS00860","1h","st",0.086983,1,1,1
"N900_RS00865","1h","st",2.7624,1,1,1
"N900_RS00870","1h","st",1.1436,1,1,1
"N900_RS00875","1h","st",1.1524,1,1,1
"N900_RS00880","1h","st",3.2289,1,1,1
"N900_RS00885","1h","st",0.42061,1,1,1
"N900_RS00890","1h","st",-0.30385,1,1,1
"N900_RS00895","1h","st",3.6401,1,1,1
"N900_RS00900","1h","st",3.6955,1,1,1
"N900_RS00905","1h","st",3.7334,1,1,1
"N900_RS00910","1h","st",3.7317,1,1,1
"N900_RS00915","1h","st",-0.10294,1,1,1
"N900_RS00920","1h","st",3.7375,1,1,1
"N900_RS00925","1h","st",0.0011829,1,1,1
"N900_RS00930","1h","st",2.7834,1,1,1
"N900_RS00940","1h","st",2.3927,1,1,1
"N900_RS00945","1h","st",-0.65876,1,1,1
"N900_RS00950","1h","st",1.0171,1,1,1
"N900_RS00955","1h","st",1.6019,1,1,1
"N900_RS00960","1h","st",-0.59143,1,1,1
"N900_RS00970","1h","st",-0.75533,1,1,1
"N900_RS00975","1h","st",0.98499,1,1,1
"N900_RS00980","1h","st",4.2543,1,1,1
"N900_RS00985","1h","st",0.11409,1,1,1
"N900_RS00990","1h","st",1.5455,1,1,1
"N900_RS00995","1h","st",0.76782,1,1,1
"N900_RS01000","1h","st",2.9337,1,1,1
"N900_RS01005","1h","st",-0.19717,1,1,1
"N900_RS01015","1h","st",1.8498,1,1,1
"N900_RS01025","1h","st",0.36867,1,1,1
"N900_RS01030","1h","st",3.1424,1,1,1
"N900_RS01035","1h","st",-0.59385,1,1,1
"N900_RS01040","1h","st",-0.41659,1,1,1
"N900_RS01045","1h","st",0.93802,1,1,1
"N900_RS01050","1h","st",0.31219,1,1,1
"N900_RS01065","1h","st",0.29479,1,1,1
"N900_RS01070","1h","st",0.10692,1,1,1
"N900_RS01075","1h","st",1.2958,1,1,1
"N900_RS01080","1h","st",0.46757,1,1,1
"N900_RS01085","1h","st",0.38061,1,1,1
"N900_RS01090","1h","st",-0.50115,1,1,1
"N900_RS01095","1h","st",0.43166,1,1,1
"N900_RS01100","1h","st",0.36245,1,1,1
"N900_RS01105","1h","st",4.4366,1,1,1
"N900_RS01110","1h","st",2.0098,1,1,1
"N900_RS01115","1h","st",4.017,1,1,1
"N900_RS01120","1h","st",0.4574,1,1,1
"N900_RS01125","1h","st",-1.1406,1,1,1
"N900_RS01130","1h","st",-0.58923,1,1,1
"N900_RS01135","1h","st",1.3279,1,1,1
"N900_RS01140","1h","st",-0.57956,1,1,1
"N900_RS01145","1h","st",1.6448,1,1,1
"N900_RS01150","1h","st",2.5574,1,1,1
"N900_RS01155","1h","st",3.0164,1,1,1
"N900_RS01165","1h","st",0.36719,1,1,1
"N900_RS01175","1h","st",0.25573,1,1,1
"N900_RS01180","1h","st",-0.39348,1,1,1
"N900_RS01185","1h","st",1.2261,1,1,1
"N900_RS01190","1h","st",0.12445,1,1,1
"N900_RS01195","1h","st",-0.38046,1,1,1
"N900_RS01200","1h","st",3.2817,1,1,1
"N900_RS01205","1h","st",-0.30939,1,1,1
