"Gene","Time","Space","logFC","Cluster_DTW","Silhouette_DTW","Cluster_cosine","Silhouette_cosine","GeneName"
"N900_RS00430","1h","st",-0.30907,20,0.0415567831306776,8,-0.147400247050854,"rmuC"
"N900_RS00440","1h","st",0.70419,7,0.00892357962417996,10,0.11353198848075,"ubiJ"
"N900_RS00450","1h","st",1.7173,10,-0.0361497505214811,10,0.060337099744427,"tatA"
"N900_RS00455","1h","st",0.46911,2,-0.0287351714860551,5,-0.0106231257520011,"tatB"
"N900_RS00460","1h","st",1.3199,10,0.0117757345507944,10,0.0876170551767987,"tatC"
"N900_RS00465","1h","st",-0.39089,15,-0.0196915732302382,9,-0.172776515031535,"ccp"
"N900_RS00470","1h","st",-0.43638,4,0.00288948376527516,13,-0.0266672899698022,"dinF"
"N900_RS00475","1h","st",4.5469,10,0.00924959455486615,4,0.0561414903741743,"class I SAM-dependent methyltransferase_2"
"N900_RS00480","1h","st",1.5481,13,0.0212083641125698,2,-0.0552218452755934,"lexA"
"N900_RS00485","1h","st",0.91427,5,-0.0431873904817549,16,0.075730646022729,"plsB"
"N900_RS00490","1h","st",3.5487,3,0.360117614481626,1,0.270424578651205,"ubiA"
"N900_RS00495","1h","st",0.67383,10,-0.0898112944314415,10,0.13646441691708,"chorismate lyase"
"N900_RS00505","1h","st",4.0272,5,-0.0610203012331166,6,-0.059590727569211,"fliL_2"
"N900_RS00510","1h","st",2.5157,20,0.0153611032373112,17,-0.0810647058637819,"methyl-accepting chemotaxis protein_4"
"N900_RS00515","1h","st",0.13445,2,-0.0526199077600089,13,0.0844120366651259,"glpG"
"N900_RS00520","1h","st",-0.77206,20,-0.020038950870383,3,-0.0310729637916552,"glpE"
"N900_RS00525","1h","st",-0.98244,19,0.0132014651619838,11,-0.0819571771029811,"N900_RS00525"
"N900_RS00530","1h","st",-1.1644,19,0.0569863180217556,11,-0.126050038624607,"tatd"
"N900_RS00540","1h","st",-0.94893,16,0.0699115761405765,3,-0.092549336152132,"ypeA_1"
"N900_RS00555","1h","st",1.0586,15,-0.0195894430439013,6,-0.142149291666967,"cc4"
"N900_RS00560","1h","st",1.758,18,-0.0625722858537093,13,0.180755408925787,"class I SAM-dependent methyltransferase_4"
"N900_RS00565","1h","st",1.5441,2,-0.0187630642035666,6,-0.247110536156639,"yihI"
"N900_RS00570","1h","st",3.6459,20,-0.0686878085672321,17,-0.119638347056758,"N900_RS00570"
"N900_RS00575","1h","st",1.465,17,-0.189348230933116,4,0.0406701153687848,"hemN"
"N900_RS00580","1h","st",-0.70062,5,-0.0479078862528166,11,0.0584934653269175,"hemy"
